"Dissemination Area (DA)","Province","DA Population","Residential instability Quintiles","Residential instability Scores","Ethno-cultural composition Quintiles","Ethno-cultural composition Scores","Economic dependency Quintiles","Economic dependency Scores","Situational vulnerability Quintiles","Situational vulnerability Scores"
48130204,Alberta,390,2,-0.665,2,-0.742,3,-0.156,4,0.261
48130205,Alberta,540,1,-0.881,1,-0.847,2,-0.711,1,-0.649
48130206,Alberta,485,2,-0.824,2,-0.709,2,-0.576,4,0.081
48130207,Alberta,645,1,-1.051,2,-0.653,4,0.117,2,-0.445
48130208,Alberta,340,1,-0.83,1,-0.913,4,0.592,4,0.017
48130209,Alberta,455,2,-0.521,3,-0.466,3,-0.234,4,0.27
48130210,Alberta,885,2,-0.612,2,-0.732,3,-0.116,3,-0.071
48130211,Alberta,520,4,0.635,4,0.275,4,0.261,4,0.247
48130212,Alberta,330,5,1.087,2,-0.625,5,0.896,4,0.351
48130213,Alberta,385,4,0.222,2,-0.648,5,2.447,5,0.476
48130214,Alberta,485,5,1.181,2,-0.551,5,1.226,5,0.85
48130215,Alberta,435,4,0.468,3,-0.248,3,-0.076,4,0.194
48130216,Alberta,505,4,0.015,2,-0.592,5,0.935,2,-0.434
48130217,Alberta,655,2,-0.746,3,-0.502,2,-0.588,4,0.004
48130218,Alberta,420,2,-0.707,1,-0.876,3,-0.252,4,0.349
48130219,Alberta,430,1,-0.885,1,-0.93,2,-0.593,2,-0.418
48130220,Alberta,555,1,-1.078,1,-0.825,4,0.123,2,-0.451
48130221,Alberta,365,3,-0.192,2,-0.738,5,1.649,5,0.612
48130222,Alberta,415,4,0.694,4,-0.046,5,1.664,4,0.333
48130223,Alberta,380,4,0.309,3,-0.524,5,0.777,3,-0.19
48130224,Alberta,515,4,0.629,4,-0.01,5,0.728,5,1.453
48130225,Alberta,535,5,1.257,4,-0.041,3,-0.134,5,0.848
48130226,Alberta,485,4,0.135,1,-0.89,5,0.983,4,0.007
48130227,Alberta,420,4,0.392,2,-0.608,3,0.022,5,1.39
48130228,Alberta,540,3,-0.314,1,-0.817,3,-0.301,4,0.089
48130229,Alberta,465,3,-0.037,2,-0.77,5,2.021,2,-0.359
48130230,Alberta,530,4,0.11,3,-0.407,4,0.347,3,-0.151
48130231,Alberta,495,1,-0.937,1,-0.962,2,-0.447,3,-0.022
48130232,Alberta,545,1,-0.876,2,-0.663,3,-0.164,4,0.124
48130233,Alberta,585,1,-1.071,2,-0.751,3,-0.096,4,0.346
48130234,Alberta,595,1,-0.895,2,-0.725,2,-0.333,4,0.234
48130235,Alberta,550,2,-0.757,3,-0.444,4,0.382,5,0.646
48130236,Alberta,430,2,-0.779,2,-0.657,5,1.16,5,0.539
48130237,Alberta,475,2,-0.531,2,-0.75,4,0.347,5,0.494
48130239,Alberta,835,1,-0.849,2,-0.647,2,-0.502,4,-0.005
48130240,Alberta,245,3,-0.221,1,-0.906,5,1.259,5,0.787
48130241,Alberta,165,2,-0.487,1,-0.904,5,1.092,2,-0.633
48130242,Alberta,1335,1,-0.898,2,-0.759,1,-1.026,2,-0.349
48130243,Alberta,550,3,-0.361,3,-0.377,4,0.131,5,0.686
48130244,Alberta,350,3,-0.221,3,-0.506,4,0.659,4,0.384
48130245,Alberta,605,1,-0.896,1,-0.852,3,-0.196,3,-0.172
48130246,Alberta,985,1,-0.946,2,-0.77,2,-0.393,3,-0.186
48130247,Alberta,855,3,-0.265,1,-0.849,4,0.197,3,-0.191
48130248,Alberta,150,3,-0.321,1,-1.079,5,1.039,5,1.184
48130249,Alberta,595,2,-0.676,2,-0.604,3,-0.024,4,0.213
48130250,Alberta,135,1,-1.263,2,-0.744,5,2.202,2,-0.383
48130251,Alberta,80,3,-0.25,1,-1.11,5,2.11,1,-0.657
48130252,Alberta,265,2,-0.727,2,-0.714,2,-0.377,3,-0.067
48130255,Alberta,825,1,-0.919,2,-0.753,5,0.807,4,0.014
48130256,Alberta,65,4,0.58,2,-0.709,4,0.494,4,0.193
48130257,Alberta,270,3,-0.411,2,-0.759,5,0.765,4,0.402
48130258,Alberta,470,3,-0.328,4,0.365,4,0.583,5,7.212
48130259,Alberta,305,2,-0.496,4,0.307,5,1.041,5,7.506
48130260,Alberta,485,3,-0.292,2,-0.776,3,-0.082,4,0.232
48130261,Alberta,400,1,-0.884,2,-0.713,4,0.374,5,0.594
48130262,Alberta,70,1,-1.937,3,-0.446,4,0.303,3,-0.016
48130263,Alberta,515,3,-0.214,2,-0.645,3,-0.292,2,-0.59
48130264,Alberta,455,2,-0.529,1,-0.961,4,0.297,3,-0.205
48130265,Alberta,400,1,-1.193,1,-0.794,3,-0.298,1,-0.704
48130266,Alberta,445,2,-0.749,2,-0.698,2,-0.577,4,0.315
48130267,Alberta,355,1,-0.83,2,-0.773,3,0.105,5,0.86
48130268,Alberta,405,2,-0.658,2,-0.788,3,-0.045,5,0.541
48130269,Alberta,380,4,0.054,1,-0.87,3,0.077,5,1.669
48130270,Alberta,300,3,-0.219,2,-0.677,3,0.065,5,1.233
48130271,Alberta,415,3,-0.044,3,-0.438,3,-0.126,5,0.574
48130272,Alberta,530,1,-1.004,1,-0.837,3,-0.124,5,0.747
48130273,Alberta,410,2,-0.765,1,-0.913,4,0.655,3,-0.215
48130274,Alberta,565,2,-0.699,1,-0.837,2,-0.577,5,0.836
48130275,Alberta,910,1,-1.016,2,-0.681,2,-0.599,4,0.059
48130276,Alberta,1025,1,-1.329,1,-0.789,2,-0.589,4,-0.005
48130277,Alberta,585,1,-1.084,2,-0.548,1,-0.881,2,-0.642
48130278,Alberta,555,2,-0.753,2,-0.608,1,-0.836,3,-0.184
48130279,Alberta,320,4,-0.004,4,0.06,1,-0.991,4,0.194
48130280,Alberta,435,5,1.021,3,-0.204,1,-1.208,3,-0.241
48130281,Alberta,630,3,-0.049,3,-0.36,2,-0.578,4,0.384
48130282,Alberta,530,1,-0.93,1,-0.853,1,-0.919,5,0.544
48130283,Alberta,195,4,-0.003,3,-0.391,3,0.108,5,2.011
48130284,Alberta,535,3,-0.28,3,-0.466,1,-1.142,5,1.432
48130285,Alberta,210,4,0.306,3,-0.301,4,0.121,5,1.071
48130286,Alberta,515,4,0.339,4,0.022,1,-1.18,4,0.407
48130287,Alberta,530,2,-0.586,2,-0.655,1,-0.945,5,0.475
48130288,Alberta,925,3,-0.172,3,-0.508,1,-1.125,4,0.113
48130289,Alberta,1275,3,-0.359,3,-0.224,1,-1.358,4,0.144
48130290,Alberta,1520,4,-0.024,3,-0.445,1,-0.976,4,0.33
48130291,Alberta,390,5,2.718,4,0.404,3,-0.174,5,1.397
48130296,Alberta,320,2,-0.683,1,-0.988,4,0.468,4,0.254
48130297,Alberta,410,3,-0.461,2,-0.735,4,0.645,5,1.247
48130298,Alberta,350,3,-0.286,1,-0.905,3,0.044,4,0.438
48130299,Alberta,325,4,0.36,1,-1.026,5,1.346,5,1.589
48130300,Alberta,470,3,-0.42,1,-1.035,3,0.098,4,0.117
48130301,Alberta,155,3,-0.346,1,-1.022,5,2.449,3,-0.15
48130302,Alberta,390,1,-0.94,1,-0.838,2,-0.477,4,0.152
48130303,Alberta,535,1,-0.978,2,-0.732,4,0.217,5,0.906
48130304,Alberta,495,3,-0.367,2,-0.765,4,0.202,5,1.032
48130305,Alberta,455,2,-0.725,1,-1.083,2,-0.352,2,-0.416
48130306,Alberta,410,3,-0.101,1,-1.002,1,-0.97,5,0.882
48130307,Alberta,560,1,-0.837,3,-0.353,2,-0.518,3,-0.188
48130308,Alberta,495,2,-0.589,1,-0.926,3,-0.292,4,0.005
48130309,Alberta,470,2,-0.809,1,-0.84,4,0.487,5,0.755
48130310,Alberta,385,4,0.496,2,-0.643,5,1.016,4,0.432
48130311,Alberta,460,2,-0.805,1,-0.866,3,-0.154,2,-0.44
48130312,Alberta,450,2,-0.553,1,-0.965,4,0.597,3,-0.311
48130313,Alberta,465,3,-0.332,1,-0.906,4,0.357,2,-0.449
48130314,Alberta,315,2,-0.681,2,-0.604,4,0.511,5,1.113
48130315,Alberta,430,2,-0.707,1,-1.033,4,0.139,5,0.451
48130316,Alberta,55,1,-0.974,1,-1.167,3,-0.105,1,-0.959
48130317,Alberta,285,2,-0.617,1,-1.024,5,0.867,2,-0.471
48130318,Alberta,130,3,-0.382,1,-0.993,1,-1.147,5,0.489
48130319,Alberta,500,1,-0.98,2,-0.596,3,-0.024,4,0.102
48130320,Alberta,115,1,-0.903,1,-0.893,5,2.082,5,1.248
48130321,Alberta,70,1,-0.851,2,-0.617,1,-0.808,1,-1.053
48130322,Alberta,150,2,-0.502,1,-0.883,5,0.978,5,0.455
48130323,Alberta,40,4,0.147,1,-0.909,5,2.613,1,-0.932
48130324,Alberta,235,2,-0.762,1,-0.956,4,0.59,4,0.093
48130327,Alberta,585,2,-0.816,1,-0.963,3,-0.192,3,-0.108
48130330,Alberta,475,4,0.048,1,-0.9,3,-0.032,4,0.377
48130331,Alberta,445,2,-0.537,1,-1.021,3,-0.013,4,0.261
48130333,Alberta,420,2,-0.727,1,-0.799,2,-0.476,4,0.255
48130334,Alberta,715,4,0.192,3,-0.361,1,-1.025,5,1.327
48130335,Alberta,390,1,-1.257,1,-0.9,3,0.012,4,0.188
48130338,Alberta,930,1,-0.873,2,-0.613,1,-1.03,4,0
48140056,Alberta,355,1,-0.956,2,-0.78,1,-0.853,2,-0.605
48140058,Alberta,390,4,0.106,2,-0.758,1,-1.277,3,-0.12
48140059,Alberta,670,3,-0.199,2,-0.76,2,-0.414,5,0.75
48140060,Alberta,520,5,1.04,4,0.098,2,-0.595,5,0.693
48140061,Alberta,445,2,-0.786,2,-0.752,3,-0.038,4,0.384
48140062,Alberta,790,4,0.151,3,-0.243,2,-0.316,5,1.388
48140063,Alberta,820,3,-0.159,3,-0.367,1,-1.408,3,-0.183
48140064,Alberta,375,3,-0.203,2,-0.702,1,-1.31,5,0.751
48140067,Alberta,1090,2,-0.677,2,-0.538,2,-0.455,3,-0.156
48140068,Alberta,400,4,0.452,4,0.178,1,-1.264,4,0.058
48140070,Alberta,855,2,-0.518,3,-0.294,1,-0.971,3,-0.019
48140071,Alberta,545,3,-0.112,3,-0.273,3,-0.104,5,1.715
48140073,Alberta,545,5,1.107,4,0.425,5,0.781,3,-0.09
48140075,Alberta,535,1,-0.841,2,-0.74,4,0.35,5,1.122
48140076,Alberta,945,2,-0.619,2,-0.735,3,-0.08,4,0.293
48140077,Alberta,370,3,-0.225,3,-0.436,2,-0.316,5,1.915
48140078,Alberta,515,2,-0.503,2,-0.695,2,-0.45,5,0.65
48140079,Alberta,830,1,-0.835,3,-0.518,1,-1.467,3,-0.168
48140080,Alberta,820,4,0.532,3,-0.468,1,-1.142,5,0.55
48140081,Alberta,550,5,1.58,3,-0.465,3,-0.236,5,0.975
48140082,Alberta,325,4,0.077,1,-0.819,1,-0.94,5,0.956
48140083,Alberta,585,1,-1.009,3,-0.272,1,-1.115,3,-0.233
48140084,Alberta,470,2,-0.795,2,-0.628,1,-1.471,2,-0.644
48140085,Alberta,440,3,-0.396,2,-0.549,5,0.969,5,0.759
48140086,Alberta,1020,4,0.355,3,-0.388,1,-0.991,3,-0.082
48140087,Alberta,450,3,-0.187,3,-0.458,1,-1.267,5,0.778
48140088,Alberta,325,4,0.513,3,-0.139,4,0.481,5,0.63
48140089,Alberta,500,5,1.739,5,0.951,3,-0.183,4,0.037
48140090,Alberta,285,3,-0.137,2,-0.601,1,-0.87,5,0.458
48140091,Alberta,1035,1,-0.84,2,-0.755,1,-0.922,3,-0.081
48140092,Alberta,605,2,-0.805,1,-0.901,2,-0.353,5,0.581
48140093,Alberta,550,1,-0.842,1,-0.803,3,0.087,5,0.445
48140094,Alberta,415,1,-0.849,1,-0.83,3,-0.2,4,0.346
48140095,Alberta,630,2,-0.781,3,-0.214,3,-0.11,5,0.809
48140096,Alberta,670,2,-0.772,2,-0.562,2,-0.361,4,0.068
48140097,Alberta,505,2,-0.747,1,-0.791,3,-0.308,3,-0.221
48140098,Alberta,650,2,-0.717,2,-0.654,2,-0.332,5,0.64
48140099,Alberta,480,1,-1.13,2,-0.552,4,0.479,4,0.416
48140100,Alberta,545,2,-0.755,2,-0.742,3,-0.064,4,0.276
48140101,Alberta,380,4,0.231,2,-0.549,5,1.326,5,1.47
48140102,Alberta,490,1,-1.027,2,-0.755,5,0.692,4,0.004
48140103,Alberta,440,4,0.35,3,-0.246,5,1.313,5,0.651
48140104,Alberta,485,3,-0.334,2,-0.726,5,1.094,4,0.119
48140105,Alberta,515,2,-0.568,2,-0.62,4,0.357,4,0.273
48142190,Alberta,260,1,-0.877,2,-0.64,1,-0.905,3,-0.196
48142191,Alberta,240,5,1.574,4,0.235,4,0.499,4,0.388
48142192,Alberta,640,3,-0.295,2,-0.582,1,-0.893,1,-0.727
48142193,Alberta,515,1,-0.99,1,-0.841,3,-0.042,2,-0.378
48142194,Alberta,345,3,-0.353,4,0.228,2,-0.495,4,0.078
48142195,Alberta,610,1,-1.051,3,-0.439,1,-1.423,1,-0.871
48142196,Alberta,450,2,-0.802,1,-0.928,1,-1.378,2,-0.349
48150079,Alberta,340,2,-0.765,2,-0.561,1,-0.914,2,-0.636
48150080,Alberta,605,5,1.514,5,0.859,1,-2.173,3,-0.234
48150081,Alberta,470,4,0.703,3,-0.258,1,-1.329,2,-0.594
48150082,Alberta,315,3,-0.09,2,-0.765,1,-1.025,2,-0.391
48150083,Alberta,460,5,1.36,3,-0.367,1,-0.995,1,-0.794
48150084,Alberta,690,5,0.911,4,0.491,1,-1.047,4,0.205
48150085,Alberta,490,2,-0.82,3,-0.337,3,-0.072,2,-0.412
48150086,Alberta,550,2,-0.502,4,-0.035,1,-1.084,3,-0.276
48150088,Alberta,265,5,1.312,3,-0.165,1,-2.618,1,-0.657
48150091,Alberta,575,4,0.646,4,0.552,1,-0.828,2,-0.52
48150092,Alberta,585,5,1.116,5,1.035,1,-1.72,3,-0.267
48150093,Alberta,515,5,1.28,5,0.776,1,-1.737,1,-1.036
48150094,Alberta,420,5,1.584,5,0.775,1,-1.28,3,-0.323
48150095,Alberta,470,5,2.022,5,1.304,1,-1.949,2,-0.521
48150096,Alberta,460,5,1.102,4,0.603,1,-1.289,2,-0.411
48150097,Alberta,340,5,0.874,3,-0.141,1,-1.255,2,-0.504
48150098,Alberta,375,4,0.643,4,0.134,3,0.009,3,-0.195
48150099,Alberta,285,4,0.11,4,0.484,1,-1.74,3,-0.176
48150100,Alberta,565,2,-0.773,3,-0.419,3,-0.114,1,-1.168
48150101,Alberta,1145,4,0.247,4,0.052,1,-1.111,1,-0.793
48150102,Alberta,50,1,-1.002,3,-0.449,2,-0.554,5,0.808
48150103,Alberta,490,5,0.859,4,0.305,1,-1.695,1,-0.795
48150104,Alberta,585,5,1.977,5,1.188,1,-1.988,2,-0.584
48150105,Alberta,1780,3,-0.24,3,-0.167,3,-0.107,2,-0.625
48150106,Alberta,390,4,0.063,2,-0.585,3,0.05,1,-0.925
48150107,Alberta,580,4,0.125,4,0.464,1,-1.188,1,-0.899
48150108,Alberta,480,4,0.284,3,-0.096,1,-1.203,1,-0.958
48150109,Alberta,300,4,0.562,2,-0.611,4,0.266,1,-0.72
48150110,Alberta,385,4,0.317,3,-0.506,1,-1.2,1,-0.899
48150111,Alberta,410,1,-1.048,3,-0.466,4,0.193,1,-0.966
48150112,Alberta,1555,4,0.687,4,0.015,3,-0.186,1,-1.008
48150113,Alberta,515,3,-0.302,3,-0.522,2,-0.759,1,-0.925
48150114,Alberta,1710,4,0.192,3,-0.278,1,-0.833,1,-0.899
48150115,Alberta,80,5,1.757,1,-0.975,1,-1.03,4,0.283
48150125,Alberta,75,1,-0.871,1,-0.843,5,2.823,1,-0.908
48150129,Alberta,770,4,0.218,4,0.229,1,-1.418,2,-0.393
48150130,Alberta,385,2,-0.712,3,-0.165,3,-0.037,2,-0.515
48150131,Alberta,395,3,-0.205,3,-0.228,1,-1.72,2,-0.371
48150132,Alberta,1485,3,-0.365,3,-0.31,1,-0.937,2,-0.477
48150133,Alberta,450,2,-0.633,3,-0.316,1,-1.385,2,-0.4
48150134,Alberta,360,4,0.172,2,-0.553,1,-1.483,3,-0.14
48150135,Alberta,1770,3,-0.13,3,-0.223,1,-0.983,1,-1.011
48150136,Alberta,1815,5,1.733,4,0.565,1,-1.62,2,-0.517
48150137,Alberta,80,3,-0.096,1,-1.1,3,-0.063,1,-1.151
48150138,Alberta,465,2,-0.567,1,-1.066,3,0.114,1,-0.917
48150139,Alberta,455,3,-0.309,1,-0.79,5,1.017,4,0.057
48150140,Alberta,375,3,-0.29,1,-0.927,4,0.43,4,0.433
48150141,Alberta,335,4,0.134,1,-0.951,5,1.665,3,-0.113
48150142,Alberta,535,3,-0.189,2,-0.583,5,1.111,2,-0.57
48150143,Alberta,505,3,-0.442,1,-0.835,4,0.618,3,-0.162
48150144,Alberta,500,5,0.833,2,-0.764,5,1.219,4,0.196
48150145,Alberta,520,2,-0.565,3,-0.525,2,-0.402,3,-0.207
48150146,Alberta,480,2,-0.682,1,-0.978,4,0.624,2,-0.357
48150147,Alberta,500,3,-0.389,1,-0.813,5,2.026,4,-0.007
48150148,Alberta,415,3,-0.438,1,-1.063,3,-0.071,3,-0.332
48150149,Alberta,550,3,-0.396,1,-0.838,3,0.065,3,-0.141
48150150,Alberta,310,2,-0.518,2,-0.669,1,-1.008,3,-0.311
48150151,Alberta,515,4,0.032,3,-0.527,1,-1.58,1,-0.882
48150153,Alberta,700,2,-0.746,2,-0.757,3,-0.09,1,-0.75
48160090,Alberta,85,3,-0.397,2,-0.608,5,0.951,5,4.655
48160099,Alberta,110,2,-0.6,3,-0.219,4,0.459,5,7.418
48160110,Alberta,130,3,-0.4,3,-0.122,5,0.692,5,5.631
48160111,Alberta,1085,5,0.834,4,0.222,1,-1.884,2,-0.367
48160112,Alberta,130,4,-0.035,3,-0.201,1,-0.875,5,2.397
48160114,Alberta,190,2,-0.707,3,-0.411,1,-1.518,5,0.672
48160115,Alberta,325,1,-1.036,3,-0.229,1,-1.622,4,0.359
48160116,Alberta,200,2,-0.77,3,-0.315,1,-2.21,5,1.067
48160117,Alberta,355,2,-0.823,2,-0.582,1,-1.383,5,0.805
48160118,Alberta,180,2,-0.618,3,-0.218,1,-1.934,2,-0.37
48160119,Alberta,475,4,0.254,3,-0.414,2,-0.763,5,1.104
48160120,Alberta,805,2,-0.505,4,0.318,1,-1.61,3,-0.323
48160124,Alberta,455,5,1.818,4,0.434,1,-1.983,3,-0.324
48160125,Alberta,685,1,-0.895,3,-0.294,1,-1.67,3,-0.267
48160126,Alberta,615,4,-0.013,3,-0.194,1,-1.518,3,-0.039
48160127,Alberta,260,1,-0.896,4,0.469,2,-0.744,5,0.676
48160128,Alberta,505,4,0.182,4,0.444,1,-1.897,4,0.093
48160129,Alberta,800,3,-0.368,5,1.338,1,-1.388,2,-0.361
48160131,Alberta,305,5,1.992,5,2.484,1,-1.395,1,-0.801
48160132,Alberta,490,5,1.924,5,2.523,1,-2.019,3,-0.027
48160133,Alberta,820,5,1.233,5,1.966,1,-1.427,3,-0.08
48160134,Alberta,460,5,1.53,5,1.962,1,-1.465,4,0.179
48160135,Alberta,830,4,0.779,5,1.86,1,-0.945,5,0.49
48160136,Alberta,640,5,2.01,4,0.745,1,-1.141,3,-0.131
48160139,Alberta,265,5,0.93,4,0.517,1,-1.64,4,0.325
48160140,Alberta,465,1,-1.163,3,-0.286,1,-0.822,3,-0.261
48160141,Alberta,230,1,-0.91,3,-0.331,1,-1.158,4,0.133
48160142,Alberta,310,4,0.546,4,-0.023,1,-1.971,4,0.09
48160144,Alberta,335,4,-0.034,5,1.11,1,-1.752,2,-0.37
48160145,Alberta,375,5,1.125,4,0.296,1,-1.642,5,1.317
48160146,Alberta,225,1,-1.03,3,-0.178,1,-1.425,4,0.222
48160148,Alberta,500,1,-1.197,3,-0.404,1,-1.284,2,-0.578
48160149,Alberta,625,1,-1.063,2,-0.554,1,-1.852,1,-0.731
48160151,Alberta,775,1,-1.328,3,-0.276,1,-1.451,2,-0.382
48160152,Alberta,480,1,-1.02,3,-0.394,1,-1.496,3,-0.047
48160153,Alberta,325,1,-1.256,3,-0.305,1,-1.624,2,-0.472
48160154,Alberta,540,1,-1.232,2,-0.636,1,-1.768,2,-0.486
48160156,Alberta,325,3,-0.41,3,-0.49,1,-1.462,4,0.404
48160158,Alberta,300,1,-1.503,2,-0.705,1,-1.623,2,-0.435
48160159,Alberta,335,2,-0.577,3,-0.295,1,-1.527,3,-0.273
48160160,Alberta,400,1,-1.291,1,-0.855,1,-1.111,2,-0.562
48160161,Alberta,440,1,-0.827,3,-0.314,1,-1.451,2,-0.643
48160162,Alberta,250,1,-1.436,3,-0.237,2,-0.671,3,-0.131
48160163,Alberta,590,2,-0.74,3,-0.439,1,-1.718,3,-0.027
48160164,Alberta,330,1,-0.958,2,-0.706,1,-1.693,1,-0.756
48160165,Alberta,1490,4,0.713,4,0.499,1,-1.619,4,0.193
48160168,Alberta,375,1,-0.873,3,-0.139,2,-0.434,1,-0.976
48160169,Alberta,205,4,0.585,4,0.112,3,-0.265,5,0.488
48160170,Alberta,260,2,-0.81,1,-1.013,1,-1.289,2,-0.616
48160171,Alberta,465,1,-0.973,2,-0.663,1,-1.951,1,-0.679
48160173,Alberta,255,4,0.321,3,-0.183,1,-1.793,4,0.171
48160174,Alberta,505,1,-0.937,3,-0.297,1,-1.787,3,-0.278
48160175,Alberta,455,3,-0.29,4,0.51,1,-1.869,4,0.246
48160176,Alberta,355,4,-0.023,4,0.316,1,-1.127,3,-0.268
48160177,Alberta,385,2,-0.764,4,-0.058,1,-1.588,3,-0.313
48160178,Alberta,465,1,-0.861,3,-0.357,1,-1.911,4,0.076
48160180,Alberta,525,1,-0.938,2,-0.591,1,-1.805,3,-0.107
48160181,Alberta,420,1,-1.009,2,-0.717,1,-0.85,3,-0.02
48160182,Alberta,170,1,-1.24,1,-0.954,1,-1.699,3,-0.113
48160183,Alberta,205,3,-0.088,3,-0.403,4,0.165,5,4.93
48160184,Alberta,335,2,-0.638,1,-0.919,1,-1.767,5,0.894
48160187,Alberta,710,1,-1.115,5,0.86,2,-0.353,5,7.125
48160196,Alberta,1465,5,1.845,5,1.782,1,-1.526,3,-0.213
48160198,Alberta,565,1,-1.074,2,-0.541,1,-1.382,3,-0.214
48160199,Alberta,855,2,-0.72,4,-0.085,1,-1.535,2,-0.415
48160201,Alberta,545,1,-1.034,2,-0.565,1,-1.977,2,-0.582
48160203,Alberta,55,1,-1.239,3,-0.273,1,-1.631,2,-0.348
48160204,Alberta,695,3,-0.284,3,-0.231,1,-1.701,4,0.31
48160206,Alberta,725,5,1.583,5,2.241,1,-1.669,4,0.125
48160207,Alberta,245,5,1.865,5,1.471,2,-0.756,3,-0.173
48160208,Alberta,210,1,-1.484,1,-0.922,1,-1.57,2,-0.549
48160209,Alberta,100,1,-0.912,2,-0.747,1,-1.616,3,-0.205
48160210,Alberta,335,4,0.286,4,0.662,1,-2.177,4,0.374
48160211,Alberta,190,2,-0.503,4,0.027,1,-1.671,4,0.276
48160212,Alberta,280,2,-0.589,5,0.858,1,-1.651,4,0.131
48160213,Alberta,715,1,-0.839,3,-0.45,1,-1.783,3,-0.315
48160215,Alberta,555,1,-1.244,2,-0.722,1,-2.088,2,-0.643
48160217,Alberta,975,1,-1.331,2,-0.535,1,-1.882,2,-0.543
48160218,Alberta,1060,2,-0.69,3,-0.404,1,-1.526,3,-0.266
48160219,Alberta,1375,5,1.705,5,1.308,1,-1.733,1,-0.838
48160221,Alberta,1835,1,-1.125,4,0.493,1,-1.76,1,-0.983
48160227,Alberta,1170,3,-0.42,4,0.397,1,-1.573,2,-0.57
48160229,Alberta,915,4,0.227,4,0.723,1,-1.517,4,0.07
48160230,Alberta,670,2,-0.78,4,0.521,1,-2.09,2,-0.337
48160231,Alberta,565,2,-0.78,5,1.532,2,-0.688,4,0.021
48160232,Alberta,1045,4,0.047,4,-0.079,1,-1.728,4,0.093
48160233,Alberta,1250,5,1.545,5,1.559,1,-1.735,4,0.234
48160234,Alberta,2180,3,-0.272,4,0.172,1,-1.833,1,-0.685
48160235,Alberta,465,2,-0.614,3,-0.348,1,-1.745,3,-0.072
48160236,Alberta,90,3,-0.204,5,1.39,1,-2.984,1,-0.689
48160238,Alberta,400,1,-0.932,2,-0.534,1,-1.905,2,-0.364
48160239,Alberta,835,1,-0.887,3,-0.243,1,-1.916,3,-0.17
48160240,Alberta,790,1,-0.856,4,0.089,1,-1.752,2,-0.576
48160241,Alberta,1255,1,-1.127,4,0.174,1,-1.625,2,-0.573
48160244,Alberta,140,1,-0.965,1,-0.991,1,-1.961,4,0.395
48160245,Alberta,300,2,-0.783,3,-0.474,2,-0.713,5,0.849
48160246,Alberta,690,2,-0.582,3,-0.247,1,-1.336,3,-0.101
48160248,Alberta,490,1,-1.24,3,-0.376,1,-1.097,3,-0.215
48160249,Alberta,740,1,-0.981,3,-0.397,1,-1.123,4,0.097
48160250,Alberta,870,3,-0.448,4,-0.054,1,-1.816,2,-0.474
48160251,Alberta,490,2,-0.517,4,-0.011,1,-1.962,3,-0.161
48160252,Alberta,945,1,-0.842,3,-0.182,1,-2.18,2,-0.618
48160253,Alberta,565,1,-1.076,5,0.931,1,-1.339,3,-0.305
48160254,Alberta,1020,4,0.617,5,1.082,1,-1.97,1,-0.97
48160255,Alberta,510,5,1.433,3,-0.279,1,-2.213,2,-0.53
48160256,Alberta,165,5,0.856,4,0.185,1,-2.084,1,-0.688
48160257,Alberta,445,1,-1.176,4,0.326,1,-1.931,2,-0.368
48160258,Alberta,950,4,0.083,4,0.215,1,-1.61,3,-0.086
48160259,Alberta,550,2,-0.551,3,-0.143,1,-1.672,4,0.312
48160260,Alberta,830,2,-0.742,4,0.327,1,-1.712,4,0.247
48160266,Alberta,610,3,-0.218,3,-0.518,2,-0.426,5,4.955
48160270,Alberta,1035,4,-0.01,3,-0.224,1,-1.788,1,-0.811
48160271,Alberta,1665,2,-0.633,4,0.442,1,-1.718,2,-0.528
48160272,Alberta,635,1,-0.926,4,0.511,1,-2.218,1,-0.892
48160273,Alberta,1535,4,0.484,4,0.6,1,-1.83,3,-0.062
48160274,Alberta,1635,1,-1.061,4,0.228,1,-1.613,2,-0.385
48160275,Alberta,1115,1,-1.013,3,-0.345,1,-2.124,3,-0.143
48160276,Alberta,2735,1,-0.859,4,0.232,1,-2.229,1,-0.694
48160277,Alberta,650,1,-0.858,4,0.714,1,-1.874,1,-0.767
48160278,Alberta,790,3,-0.312,2,-0.636,3,0.098,5,4.368
48160279,Alberta,360,3,-0.301,3,-0.147,5,0.806,5,6.894
48170204,Alberta,150,2,-0.602,1,-0.839,2,-0.381,5,0.726
48170205,Alberta,1465,3,-0.234,2,-0.537,1,-1.799,5,0.781
48170206,Alberta,295,4,0.622,4,0.613,1,-0.936,5,0.898
48170207,Alberta,435,4,0.717,4,-0.073,1,-1.793,5,1.666
48170208,Alberta,225,4,0.061,4,0.133,2,-0.758,5,0.71
48170209,Alberta,770,3,-0.263,4,-0.08,1,-1.563,5,0.827
48170210,Alberta,60,2,-0.638,4,-0.046,1,-1.913,4,0.09
48170211,Alberta,300,5,1.724,4,0.041,1,-1.392,5,0.625
48170213,Alberta,705,1,-0.999,2,-0.751,2,-0.628,4,0.205
48170215,Alberta,315,1,-1.481,3,-0.272,1,-0.98,5,0.895
48170216,Alberta,275,1,-1.539,4,0.28,4,0.158,5,0.99
48170218,Alberta,1115,1,-1.253,4,0.018,2,-0.559,5,1.171
48170219,Alberta,375,3,-0.286,3,-0.139,4,0.566,5,1.91
48170220,Alberta,470,4,0.277,3,-0.213,3,-0.081,5,1.788
